,Feature,Coefficient
11,CallDuration,1.9396529592580334
74,success,0.48194321592130973
70,oct,0.24426785404929205
67,mar,0.23599443159714148
71,sep,0.23082596341503522
60,apr,0.16146010050807597
62,dec,0.15557161318569043
18,student,0.15324030578273462
40,12,0.14594028984012494
53,25,0.12362436251111512
26,tertiary,0.12149975443281266
7,DaysPassed,0.11705172135354762
15,retired,0.11416349186374743
63,feb,0.1105141928972727
8,PrevAttempts,0.11041050071936641
41,13,0.1015268833921467
23,single,0.08649616791565422
9,admin.,0.07955004519331016
43,15,0.0738684153184634
20,unemployed,0.06957209301583447
19,technician,0.06358141530319777
31,3,0.0622669525648159
32,4,0.062244429953196984
56,28,0.061756431931647926
50,22,0.055925075403795675
66,jun,0.04553583102565602
29,1,0.0442977038086291
69,nov,0.040058625309325184
55,27,0.03909056339184731
38,10,0.03758295349010076
52,24,0.03403948031617941
28,telephone,0.03323916243464676
35,7,0.03315115470703915
1,Age,0.03146010340292877
33,5,0.01435024535395243
21,divorced,0.008683473644592274
30,2,0.0023946857911812036
34,6,0.0018317415806034475
42,14,-0.0027154941711675104
54,26,-0.003813875570165556
17,services,-0.0054925463528977935
57,29,-0.007076515328333462
46,18,-0.010082573022756482
59,31,-0.012423046277920145
58,30,-0.013191973185537555
51,23,-0.013974246827373334
3,Balance,-0.025258263010156257
14,management,-0.030246030367161145
27,cellular,-0.03323916243464688
39,11,-0.043428454136921736
2,Default,-0.043517401228819266
49,21,-0.04936866474609127
65,jul,-0.054870125087434427
24,primary,-0.057577602448351875
16,self-employed,-0.0689421780764745
36,8,-0.0746709346071436
48,20,-0.07633962406048875
37,9,-0.0764519947360344
25,secondary,-0.07686326777373442
22,married,-0.08618510441627168
12,entrepreneur,-0.11251097930110938
10,blue-collar,-0.12253073220026324
44,16,-0.12955185695423604
61,aug,-0.13256478982627734
13,housemaid,-0.13508212577222556
47,19,-0.1395578701325141
45,17,-0.1482446018215973
72,failure,-0.1511272891639622
5,CarLoan,-0.2057837959236615
64,jan,-0.21308392306226814
73,other,-0.2156298280332954
6,NoOfContacts,-0.22130431684428953
68,may,-0.27130547557358886
4,HHInsurance,-0.42389703495106235
0,Intercept,-0.4624363092409365
